"Name of the college","Affiliated To University","College address","District","State","Status","Year of Estb.","Teaching Upto","Govt or Non Govt","Aided or Unaided"
"Govt. Degree College","Dr. B.R. Ambedkar University, Srikakulam","I.T.D.A. Campus, Seethampeta – 532 443, Srikakulam Dist.","Srikakulam","Andhra Pradesh","2(f)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Telangana University, Nizamabad","Bichkunda, Dist. Nizamabad – 503 306","","Telangana","2(f) and 12(B)","1988","Bachelor's","Government","Aided"
"Govt. Degree College","Barkatullah University, Bhopal","Multai, Distt. Betul","","Madhya Pradesh","2(f) and 12(B)","1982","Master's","Government",""
"Govt. Degree college","Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Palia Kalan Lakhimpur, Khiri","","Uttar Pradesh","2(f) and 12(B)","1999","Bachelor's","Government",""
"Govt. Degree College","Andhra University, Visakhapatnam","Mandapeta - 533 008 East GodavarI Dist.","East Godavari","Andhra Pradesh","2(f) and 12(B)","1989","Bachelor's","Government",""
"Govt. Degree College","Kakatiya University, Warangal","Huzurabad, Karimnagar Dist.","","Telangana","2(f) and 12(B)","1993","Bachelor's","Government",""
"Govt. Degree College","Satavahana University,  Karimnagar","Gambhiraopet, Dist. Karimnagar – 505 304","","Telangana","2(f)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Andhra University, Visakhapatnam","Sabbavaram, Visakhapatnam District","Visakhapatnam","Andhra Pradesh","2(f)","2008","Master's","Government","Aided"
"Govt. Degree College","Sri Venkateswara University, Tirupati","Satyavedu, Chittoor District","Chittoor","Andhra Pradesh","2(f)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Sri Venkateswara University, Tirupati","Kuppam – 517 425, Chittoor District","Chittoor","Andhra Pradesh","2(f)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Satavahana University,  Karimnagar","Mahadevpur – 505 504, Dist. – Karimnagar","","Telangana","2(f)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Satavahana University,  Karimnagar","Husnabad – 505 467, Dist. – Karimnagar","","Telangana","2(f)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Sri Venkateswara University, Tirupati","Pakala, Chittoor – 517 112","Chittoor","Andhra Pradesh","2(f)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Telangana University, Nizamabad","Yellareddy, Nizamabad – 503 122","","Telangana","2(f) and 12(B)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Andhra University, Visakhapatnam","V. Madugula, Visakhapatnam Dist.","Visakhapatnam","Andhra Pradesh","2(f)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Andhra University, Visakhapatnam","Cheepurpalli – 535 128, Vizianagaram Dist.","Vizianagaram","Andhra Pradesh","2(f)","2008","Bachelor's","Government","Aided"
