"Name of the college","Affiliated To University","College address","District","State","Status","Year of Estb.","Teaching Upto","Govt or Non Govt","Aided or Unaided"
"Ranjit College of Education","Jammu University, Jammu Tawi","Rakh-Bandhuwala, Kunjwani","Jammu","Jammu and Kashmir","2(f)","1994","Master's","Non Government",""
"Ranpur Degree College","Utkal  University,  Bhubaneswar","Ranpur, Dist. Nayagarh – 752 026","","Odisha","2(f) and 12(B)","1983","Bachelor's","Non Government","Aided"
"Ranveer Neelam Mahavidyalaya","Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Bharthana, Etawah – 206 242","","Uttar Pradesh","2(f) and 12(B)","2008","Bachelor's","Non Government","Unaided"
"Ranveer Singh Shyam Singh Mahavidyalaya","Dr. B.R. Ambedkar University, Agra","Ukhrend, Firozabad – 283 142","","Uttar Pradesh","2(f) and 12(B)","2008","Bachelor's","Non Government","Unaided"
"Ranvir Rannjaya Post - Graduate College","Dr Ram Manohar Lohia Awadh University, Faizabad","Amethi, District Sultanpur - 227 405","","Uttar Pradesh","2(f) and 12(B)","1959","Master's","Non Government",""
"Rao Abhay Singh College of Education","Maharishi Dayanand  University, Rohtak","Saharanwas (Rewari) – 123 401","","Haryana","2(f)","2006","Master's","Non Government","Unaided"
"Rao Bahadur Y. Mahabaleshwarappa Engineering College","Visvesvaraya Technological University, Belgaum","Cantonment, Ballari – 583 104","","Karnataka","2(f)","1980","Master's","Non Government","Unaided"
"Rao Birender Singh College of Education","Maharishi Dayanand  University, Rohtak","Rewari, Dist. Rewari","","Haryana","2(f) and 12(B)","1953","Master's","Non Government","Aided"
"Rao Lal Singh College of Education","Maharishi Dayanand  University, Rohtak","Sidhrawali, Dist. Gurgaon","","Haryana","2(f) and 12(B)","1974","Bachelor's","Non Government",""
"Rao Pahlad Singh Degree College","Indira Gandhi University, Meerpur","Rao Pahlad Singh Degree College, Satnali Road, Balana, Mohindergarh-123 029, Haryana","","Haryana","2(f)","2012","Master's","Non-Government","Unaided"
"Rao Pratap Singh College","Rani Durgavati Vishwavidyalaya, Jabalpur","Admgaon Bada, Dist. Narsinghpur","","Madhya Pradesh","2(f) and 12(B)","1996","Bachelor's","Non Government",""
"Raosaheb Gogate College of Commerce and Smt. Saraswati Ganshet Walke College of Arts","Mumbai University, Mumbai","Banda Panval Tal. Sawantwadi, Dist. Sindurgarh 416511","","Maharashtra","2(f) and 12(B)","1995","Bachelor's","Non Government",""
"Rashida Begum Muslim Mahavidyalaya","M.J.P.Rohilkhand University, Bareilly","Dhanora Road, District Amroha – 244 221","","Uttar Pradesh","2(f) and 12(B)","2004","Bachelor's","Non Government","Unaided"
"Rashtrakavi Maithalishran Gupt Mahavidyalaya","Bundelkhand University, Jhansi","Chirgaon, Jhansi","","Uttar Pradesh","2(f) and 12(B)","2008","Bachelor's","Non Government","Unaided"
"Rashtrakavi Maithili Sharan Gupt College of Education.","Bundelkhand University, Jhansi","Chirgaon, Jhansi – 284 301.","Jhansi","Uttar Pradesh","2(f)","2016","Bachelor's","Non Government","Unaided"
"Rashtrapita Mahatma Gandhi Arts & Science College,","Gondwana University, Gadchiroli","Nagbhid, Dist. Chandrapur – 441 205, Maharashtra","Chandrapur","Maharashtra","2(f)","2008","Bachelor's","Non Government","Unaided"
"Rashtrapita Mahatma Gandhi Arts and Commerce College","Rashtrasant Tukadoji Maharaj Nagpur  University, Nagpur","Saoli Dist. Chandrapur","","Maharashtra","2(f) and 12(B)","1994","Bachelor's","Non Government",""
"Rashtrapita Mahatma Gandhi Arts, Commerce & Science College,","Gondwana University, Gadchiroli","Saoli,  District Chandrapur-441 225,","","Maharashtra","12B","2009","Bachelor's","Non Government","Aided"
"Rashtrasant Tukdoji College","Rashtrasant Tukadoji Maharaj Nagpur  University, Nagpur","Chimur, District Chandrapur","","Maharashtra","2(f) and 12(B)","1972","Master's","Non Government",""
"Rashtraveer Nihalarati College of Commerce and Management","Mahatma Gandhi Kashi Vidyapeeth, Varanasi","Vill. Ghosila, Post - Sewapuri, P.S. – Kapsethi, Tehsil – Rajatalab, Dist. Varanasi – 221 403","Varanasi","Uttar Pradesh","2(f) and 12(B)","2011","Bachelor's","Non Government","Unaided"
"Rashtriya Degree College","Veer Bahadur Singh Purvanchal University, Jaunpur","Sujanganj, District Jaunpur","","Uttar Pradesh","2(f)","1992","Bachelor's","Non Government",""
"Rashtriya Degree College","Veer Bahadur Singh Purvanchal University, Jaunpur","Jamuhai, District Jaunpur","","Uttar Pradesh","2(f) and 12(B)","1972","Bachelor's","Non Government",""
"Rashtriya Kathak Sansthan","Lucknow University, Lucknow","27/3, Kaiserbagh, Near Rai Umanath Audotorium, Lucknow – 226 001","","Uttar Pradesh","2(f) and 12(B)","2010","Bachelor's","Non Government","Unaided"
"Rashtriya Sahakari Shikshan Prasarak Mandal Ltd. Chalisgaon, Dist. Jalgaon Sanstha’s Nanasaheb Yashavantrao Narayanrao Chavan Arts, Science & Commerce College","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Chalisgaon, Tal - Chalisgaon, Dist. Jalgaon","","Maharashtra","2(f) and 12(B)","1984","Bachelor's","Non Government",""
"Rashtriya Shikshan Prasarak Mandal Beed’s, Lokmanya Tilak Mahavidyalaya","Dr. Babasaheb Ambedkar Marathwada University, Aurangabad","Tq. Wadwani,  Dist. Beed - 431 144 Maharashtra","","Maharashtra","2(f) and 12(B)","1997","Bachelor's","Non Government","Unaided"
"Rashtriya Shikshan Sanstha’s Swami Vivekanand (Night) College of Arts & Commerce","Mumbai University, Mumbai","Chhatrapati Bhavan, Ayare Marg, Dattanagar, Dombivli (East), Dist. Thane - 421 201","Thane","Maharashtra","2(f) and 12(B)","1998","Bachelor's","Non Government","Aided"
"Rasik Bihari Mahavidyalaya,","Dr Ram Manohar Lohia Awadh University, Faizabad","Badnapur, Kanchhar Visheshwarganj, Bahraich – 271 821.","Bahraich","Uttar Pradesh","2(f)","2016","Bachelor's","Non Government","Unaided"
"Ratan Sen Degree College","Deen Dayal Upadhyay Gorakhpur University, Gorakhpur","Bansi, District Sidharth Nagar","","Uttar Pradesh","2(f) and 12(B)","1968","Bachelor's","Non Government",""
"Rathanavel Subramaniam College of Arts & Science","Bharathiar University, Coimbatore","K.V.K. Thottam, Ttichy Road, Sulur","Sulur","Tamil Nadu","2(f) and 12(B)","1986","Bachelor's","Non Government",""
"Rathinam College of Arts and Science","Bharathiar University, Coimbatore","K.P.M. Nagar, Pollachi Main Road, Coimbatore - 641 021","Coimbatore","Tamil Nadu","2(f) and 12(B)","2001","Master's","Non Government",""
"Rathinam Technical Campus","Anna University, Chennai","Rathinam Techzone Campus, Pollachi Road, Eachanari, Coimbatore – 641 021","","Tamil Nadu","2(f)","2011","Master's","Non Government","Unaided"
"Ratnam College of Arts Science, Commerce","Mumbai University, Mumbai","National High School Marg, Bhandup (West), Mumbai - 78, District Mumbai","","Maharashtra","2(f) and 12(B)","1983","Master's","Non Government",""
"Ratnam Institute of Pharmacy","Jawaharlal Nehru Technological University, Anantpur","Pidathapolur (V), Muthukur (M), SPSR Nellore Dist. - 524 346","","Andhra Pradesh","2(f)","2007","Master's","Non Government","Unaided"
"Ratnapeeth College","Gauhati University, Guwahati","Chaper, District Dhubri","Dhubri","Assam","2(f) and 12(B)","1978","Bachelor's","Non Government",""
"Ratnapith College","Gauhati University, Guwahati","Bhalpur, P.O. Chopra - 783 371, Dist. Dhubri","Dhubri","Assam","2(f) and 12(B)","1978","Bachelor's","Non Government",""
"Rattan Institute of Technology & Management","Maharishi Dayanand  University, Rohtak","Saveli, Dist. – Palwal – 121 106","","Haryana","2(f)","2008","Master's","Non Government","Unaided"
"Ravenshaw College","Utkal  University,  Bhubaneswar","Cuttack, District Cuttack","","Odisha","2(f) and 12(B)","1863","Master's","Government",""
"Ravenshaw Morning College","Utkal  University,  Bhubaneswar","Cuttack, District Cuttack","","Odisha","2(f) and 12(B)","1962","Master's","Government",""
"Raver Parisar Shikshan Prasarak Mandal's Shri Vitthalrao Shankarrao Naik Arts, Commerce and Science College","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Raver - 425 508, Tal. - Raver, District Jalgaon","","Maharashtra","2(f) and 12(B)","","Bachelor's","Non Government","Aided"
"Ravikant Ragit Prashaskiya Mahavidyalaya","Kavikulguru Kalidas Sanskrit University, Ramtek,","Mouda Road, Ramtek, Post-Nagardhan, Dist. Nagpur-441 106,","Nagpur","Maharashtra","2(f)","2001","Bachelor's","Non Government","Unaided"
"Ravindra College","Barkatullah University, Bhopal","T.T. Nagar, Dist. Bhopal","","Madhya Pradesh","2(f) and 12(B)","1967","Bachelor's","Non Government",""
"Ravindra College of Engineering for Women","Jawaharlal Nehru Technological University, Anantpur","Nandikotkur Road, Pasupala Village, Kurnool – 518 452","Kurnool","Andhra Pradesh","2(f) and 12(B)","2008","Bachelor's","Non Government","Unaided"
"Ravindra Kishore Shahi Govt. College","Deen Dayal Upadhyay Gorakhpur University, Gorakhpur","Pathardeva, Deoria","","Uttar Pradesh","2(f) and 12(B)","1999","Bachelor's","Government",""
"Ravindra Singh Samark Mahavidyalaya","Dr Ram Manohar Lohia Awadh University, Faizabad","Sahibapur, Vajirganj, Gonda","","Uttar Pradesh","2(f)","2004","Bachelor's","Non Government",""
"Ravindranath Tagore College of Arts, Science and Commerce","Rashtrasant Tukadoji Maharaj Nagpur  University, Nagpur","Dongargaon, Wardha Road, Dist. Nagpur – 441 108, Maharashtra","Nagpur","Maharashtra","2(f)","2008","Bachelor's","Non Government","Unaided"
"Ravindranath Tagore P.G. College","Mohan Lal Sukhadia University, Udaipur","Kapasan – 312 202, Dist. Chittorgarh","","Rajasthan","2(f) and 12(B)","2002","Bachelor's","Non Government","Unaided"
"Rayagada College","Berhampur University, Berhampur","Rayagada 0 765 001, District Rayaguda","","Odisha","2(f) and 12(B)","1966","Bachelor's","Non Government",""
"Rayalaseema College of Physical Education","Sri Venkateswara University, Tirupati","Preddatur, District Cuddpah - 516 362","Y.S.R.","Andhra Pradesh","2(f) and 12(B)","1984","Master's","Non Government",""
"Rayapati Venkata Ranga Rao College of Education","Acharya Nagarjuna University, Nagarjuna Nagar","JKC College Road, Guntur - 522 006","Guntur","Andhra Pradesh","2(f) and 12(B)","1983","Bachelor's","Non Government","Unaided"
"Rayat Shikshan Sanstha's Mahatma Phule Mahavidyalaya","Savitribai Phule Pune University, Pune","Pimpri, Pune - 411 017","Pune","Maharashtra","2(f) and 12(B)","1983","Bachelor's","Non Government",""
"Rayat Shikshan Sanstha’s Annasaheb Awate Arts, Commerce & Hutatma Babu Genu Science College","Savitribai Phule Pune University, Pune","Manchar, Tal-Ambegaon, Distt.Pune – 410 503","Pune","Maharashtra","2(f) and 12(B)","1966","Bachelor's","Non Government",""
"Rayat Shikshan Sanstha’s Karmveer Bhaurao Patil College","Mumbai University, Mumbai","Vashi, Sector 15 -A, New Mumbai - 400 703","","Maharashtra","2(f)","1979","Master's","Non Government",""
"Rayat Shikshan Sanstha’s, Dr. Babasaheb Ambedkar College","Savitribai Phule Pune University, Pune","Aundhgaon, Dist. Pune - 411 007","Pune","Maharashtra","2(f) and 12(B)","1983","Bachelor's","Non Government",""
"Rayburn College","Manipur University, Imphal","P.O. Box – 32, New Lamka, Churachandpur – 795 006","","Manipur","2(f) and 12(B)","1996","Bachelor's","Non Government","Aided"
"Raziya Smarak Mahila Mahavidyalaya.","Veer Bahadur Singh Purvanchal University, Jaunpur","Hakikatpur (Matalupur) Mau – 275 101.","Mau","Uttar Pradesh","2(f)","2013","Bachelor's","Non Government","Unaided"
"RBVRR Women’s College of Pharmacy","Osmania University, Hyderabad","3-4-343, Barkatpura, Hyderabad - 500 027","Hyderabad","Telangana","2(f)","2006","Master's","Non Government","Unaided"
"RCC Institute of Information Technology","Maulana Abul Kalam Azad University of Technology,  Kolkata","Canal South Road, Beliaghata, Kolkata – 700 015","","West Bengal","2(f)","1999","Master's","Non Government","Unaided"
"RDO College of Nursing","Manipur University, Imphal","Lamdeng, P.O. Lamsang, Imphal West District – 795 146","Imphal West","Manipur","2(f) and 12(B)","2011","Bachelor's","Non Government","Unaided"
"Regency Teachers Training College","Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Regency Enclave, Raseora, Sitapur – 261 001","","Uttar Pradesh","2(f) and 12(B)","2005","Master's","Non Government","Unaided"
"Regional College","Utkal  University,  Bhubaneswar","Rambag, At P/o Rambag, Dist. Jajpur","","Odisha","2(f) and 12(B)","1992","Bachelor's","Non Government",""
"Regional College","Manipur University, Imphal","Chajing Lilong, District Imphal","","Manipur","2(f) and 12(B)","1991","Bachelor's","Non Government",""
"Regional College of Education","Barkatullah University, Bhopal","Shamala Hill, Dist. Bhopal","","Madhya Pradesh","2(f) and 12(B)","1964","Master's","Government",""
"Regional College of Management","Utkal  University,  Bhubaneswar","Bhubaneswar, District Khurda","","Odisha","2(f) and 12(B)","1982","Bachelor's","Government",""
"Regional College of Physical Education","Tripura University, Agartala","Panisagar, District North Tripura","","Tripura","2(f) and 12(B)","1976","Bachelor's","Government",""
"Regional College of Professional Studies & Research","M.J.P.Rohilkhand University, Bareilly","Opp. ‘Mahanagar’, Pilibhit By-Pass Road, Bareilly – 243 006","Bareilly","Uttar Pradesh","2(f) and 12(B)","2005","Bachelor's","Non Government","Unaided"
"Regional Degree College","North Orissa University, Mayurbhanj","Udayapur, Keonjhar – 758 045","","Odisha","2(f) and 12(B)","1993","Bachelor's","Non Government","Aided"
"Regional Engineering College","Bharathidasan University, Tiruchirapalli","Tiruchirapalli-15, District Tiruchirapalli - 620 015","","Tamil Nadu","2(f) and 12(B)","1964","Master's","Government",""
"Regional Engineering College","Sambalpur University, Sambalpur","Rourkela, District Sundargarh","","Odisha","2(f) and 12(B)","1961","Master's","Government",""
"Regional Engineering College","Himachal Pradesh University, Shimla","Hamirpur, Dist. Hamirpur","","Himachal Pradesh","2(f) and 12(B)","1985","Bachelor's","Government",""
"Regional Engineering College","Calicut University, Kozhikode","Calicut, Dist. Calicut - 673 601","","Kerala","2(f) and 12(B)","1961","Master's","Government",""
"Regional Institute of Education","Mysore University, Mysore","Mysore - 570 006","Mysore","Karnataka","2(f) and 12(B)","1963","Bachelor's","Non Government",""
"Regional Institute of Education","Maharishi Dayanand Saraswati University, Ajmer","Ajmer, District Ajmer","","Rajasthan","2(f) and 12(B)","1963","Master's","Non Government",""
"Regional Institute of Education","Utkal  University,  Bhubaneswar","Bhubaneswar, District Khurda","","Odisha","2(f) and 12(B)","1963","Master's","Government",""
"Regional Institute of Medical Sciences","Manipur University, Imphal","Lemphel Pet, Imphal, District Imphal","","Manipur","2(f) and 12(B)","1972","Bachelor's","Non Government",""
"Regional Institute of Paramedical and Nursing Sciences (RIPANS)","Mizoram University, Aizawl","Zemabawk, Aizawl – 796 017","","Mizoram","2(f) and 12(B)","1995","Bachelor's","Non Government","Aided"
"Regional Medical Research Centre (Indian Council of Medical Research)","Pondicherry University, Pondicherry","Post Bag No. 13, Port Blair – 744 101","","Andaman and Nicobar Islands","2(f)","1983","Master's","Government","Aided"
"Rehmat-e-Alam College of Education","Kashmir University, Srinagar","Rehmat Abad, Anchidora, Anantnag – 192 102","Kashmir","Jammu and Kashmir","2(f) and 12(B)","1995","Bachelor's","Non Government","Unaided"
"Reliable Institute of Management and Technology","Choudhary Charan Singh University, Meerut","6th Mile Stone, Near Radha Swami Mandir Satsang Motra, Meerut Road, Ghaziabad – 201 003","Ghaziabad","Uttar Pradesh","2(f) and 12(B)","2005","Bachelor's","Non Government","Unaided"
"Remuna Degree College","Fakir Mohan University, Balasore","Remuna, Balasore – 756 019","","Odisha","2(f) and 12(B)","1996","Bachelor's","Non Government","Aided"
"Renaissance College of Commerce & Management","Devi Ahilya Vishwavidyalaya, Indore","45, Anurag Nagar, Behind Press Complex, A.B. Road, Indore","Indore","Madhya Pradesh","2(f) and 12(B)","2006","Bachelor's","Non Government","Unaided"
"Rengam Subansiri College","Dibrugarh University, Dibrugarh","P.O. Patrichuk, Dist. Lakhimpur – 787 055","Lakhimpur","Assam","2(f) and 12(B)","1994","Bachelor's","Non Government","Aided"
"Renu Mahavidyalaya","Barkatullah University, Bhopal","Mandideep, Raisen, Bhopal","","Madhya Pradesh","2(f)","1997","Bachelor's","Non Government",""
"Renuka College","Rashtrasant Tukadoji Maharaj Nagpur  University, Nagpur","Manewada Road, Basa, Near Bank or India, Nagpur – 440 034","","Maharashtra","2(f) and 12(B)","2001","Bachelor's","Non Government","Aided"
"Repalle Christian College","Acharya Nagarjuna University, Nagarjuna Nagar","Repalle-522 265, Guntur District","Guntur","Andhra Pradesh","2(f)","1993","Bachelor's","Non Government",""
"Reshami Degree College","Maharaja Suhel Dev State University, Azamgarh","Paus, Gontha, Dist. Mau – 275 303,","Mau","Uttar Pradesh","2(f)","2016","Bachelor's","Non Government","Unaided"
"Reshmi Mahila Mahavidyalaya","Veer Bahadur Singh Purvanchal University, Jaunpur","Atariya Dharammarpur, Ghazipur – 233 232, Uttar Pradesh","Ghazipur","Uttar Pradesh","2(f) and 12(B)","2014","Bachelor's","Non Government","Unaided"
"Rev. Jacob Memorial Christian College","Madurai Kamaraj University, Madurai","Santhipuram,  Ambilikkai-624 612, Dindigual District","","Tamil Nadu","2(f) and 12(B)","1997","Bachelor's","Non Government","Unaided"
"Revataa Sarvajanik Education College","Hemchandracharya North Gujarat University, Patan","Mahesana – 384 001","","Gujarat","2(f)","2003","Bachelor's","Non Government",""
"Ri-Bhoi College","North-Eastern Hill University, Shilong","Nongpoh - 793 102","Ribhoi","Meghalaya","2(f) and 12(B)","1992","Bachelor's","Non Government","Aided"
"RIMT College of Education","Punjabi University, Patiala","Opp. Floating Restaurant, Sirhind Side, Mandi Gobindgarh – 147 301","","Punjab","2(f) and 12(B)","2004","Bachelor's","Non Government","Unaided"
"Rimuli College","North Orissa University, Mayurbhanj","Rimuli, Keonjhar, District Keonjhar","","Odisha","2(f) and 12(B)","1987","Bachelor's","Non Government",""
"Rise Krishna Sai Gandhi","Jawaharlal Nehru Technological University, Kakinada","Group of Institutions, NH-16, Vallur – 523 272, Ongole, Prakasam Distt., Andhra Pradesh","Prakasam","Andhra Pradesh","2(f)","2009","Bachelor's","Non Government","Unaided"
"Rise Krishna Sai Prakasam Group of Institutions","Jawaharlal Nehru Technological University, Hyderabad","NH-16, Vallur – 523 272, Ongole Prakasam Dist., Andhra Pradesh","Prakasam","Andhra Pradesh","2(f) and 12(B)","2009","Master's","Non Government","Unaided"
"Rishi Aurobindo Institute of Teacher Education.","The West Bengal University of Teachers' Training, Education Planning and Administration, Kolkata","Vill. & P.O. Panchkhuri, P.S. Kotowali, Dist. Paschim Medinipur – 721 150.","Paschim Medinipur","West Bengal","2(f)","2015","Bachelor's","Non Government","Unaided"
"Rishi Bal Mahavidyalaya","M.J.P.Rohilkhand University, Bareilly","Patti Maudha, Kanth, District Moradabad - 244 501","Moradabad","Uttar Pradesh","2(f) and 12(B)","2008","Bachelor's","Non Government","Unaided"
"Rishi Bankim Chandra College","Calcutta University, Kolkata","Naihati, Kantapara - 743 165, District North Twenty Four Parganas","","West Bengal","2(f) and 12(B)","1947","Bachelor's","Non Government",""
"Rishi Bankim Chandra College for Women","Calcutta University, Kolkata","Naihati, District North Twenty Four Parganas","","West Bengal","2(f) and 12(B)","1984","Bachelor's","Non Government",""
"Rishi Bankim Chandra Evening College","Calcutta University, Kolkata","Naihati, District North Twenty Four Parganas","","West Bengal","2(f) and 12(B)","1984","Bachelor's","Non Government",""
"Rishi Dayaram and Seth Hassaram National College and Seth Wassiamull Assomull Science College","Mumbai University, Mumbai","Linking Road, Bandra Road, Mumbai - 50, District Mumbai","","Maharashtra","2(f) and 12(B)","1949","Master's","Non Government",""
"Rishi Galav Degree College","Jiwaji University, Gwalior","Morena, Dist. Morena","","Madhya Pradesh","2(f) and 12(B)","1970","Bachelor's","Non Government",""
"Rishi Ram Naresh Krishak Mahavidyalaya","Veer Bahadur Singh Purvanchal University, Jaunpur","Molanapur, Dubari, Distt. Mau – 221 601","","Uttar Pradesh","2(f) and 12(B)","2003","Bachelor's","Non Government",""
"Rishi Sanskrit College","Sampurnanand Sanskrit Vishwavidyalaya, Varanasi","Khadkhadi, Haridwar, District Haridwar","","Uttarakhand","2(f) and 12(B)","1974","Bachelor's","Non Government",""
"Rishiraj Singh Mahavidyalay","Dr Ram Manohar Lohia Awadh University, Faizabad","Bamhrauli, Katka Khanpur Sultanpur – 228 125, Uttar Pradesh","Sultanpur","Uttar Pradesh","2(f) and 12(B)","2016","Bachelor's","Non Government","Unaided"
"Rishiraj Singh Mahavidyalaya","Dr Ram Manohar Lohia Awadh University, Faizabad","Mahuwari, Ambedkarnagar – 224 234","","Uttar Pradesh","2(f) and 12(B)","2008","Bachelor's","Non Government","Unaided"
"Rishishwar Mahavidyalaya","Jiwaji University, Gwalior","Phooph, Dist. Bhind","","Madhya Pradesh","2(f) and 12(B)","1970","Bachelor's","Non Government",""
"Ritambhara Vishva Vidyapeeth’s, Malini Kishor Sanghvi College of Commerce and Economics","University of Mumbai, Mumbai","Nirmaladevi Arunkumar Ahuja Marg, J.V.P.D Scheme, Vile Parle (West), Mumbai – 400 049,  Maharashtra.","","Maharashtra","2(f)","1994","Master's","Non Government","Unaided"
"Riward Mahavidyalaya","Dr Ram Manohar Lohia Awadh University, Faizabad","Hanumanganj, Sultanpur - 228 001","","Uttar Pradesh","2(f) and 12(B)","2004","Master's","Non Government","Partly Aided"
"Rizvi Education Society's Rizvi College of Arts Science & Comm.","Mumbai University, Mumbai","Comm. Rizvi Complex, off Carter Road, Bandra West 400050","","Maharashtra","2(f) and 12(B)","1985","Bachelor's","Non Government",""
"RJS First Grade College","Bangalore University, Bangalore","#1, Mahayogi Vemana Road, 3rd Block, Koramangala Layout, Bangalore – 560 034","","Karnataka","2(f) and 12(B)","1993","Master's","Non Government","Unaided"
"RK College of Engineering","Jawaharlal Nehru Technological University, Kakinada","Kethanakonda(V), Ibrahimpatnam(M),  Vijayawada, Amaravati-521 56,","","Andhra Pradesh","2(f)","2008","Master's","Non Government","Unaided"
"RKG Educational College","Lucknow University, Lucknow","Omaxe City, Opp. Dr. B.R. Ambedkar University, Rae Bareilly Road, Lucknow – 226 025","Lucknow","Uttar Pradesh","2(f) and 12(B)","2007","Bachelor's","Non Government","Unaided"
"RNS First Grade College","Bangalore University, Bangalore","Dr. Vishnuvardhan Road, RR Nagar Post, Channasandra, Uttarahalli Kengeri Main Road, Bengaluru - 560 098","Bangalore","Karnataka","2(f)","2012","Bachelor's","Non Government","Unaided"
"RNS Institute of Technology","Visvesvaraya Technological University, Belgaum","Channasandra, Uttarahalli – Kengeri Main Road, Rajarajeshwari Nagar Post, Bengaluru – 560 098,","","Karnataka","2(f)","2001","Master's","Non Government","Unaided"
"Roda Mistry College of Social Work & Research Centre","Osmania University, Hyderabad","Red Hills, Hyderabad -1, District Hyderabad","","Telangana","2(f) and 12(B)","1972","Master's","Non Government",""
"Roever College of Engineering & Technology","Anna University, Chennai","Elambalur – Perambalur – 621 220","Perambalur","Tamil Nadu","2(f)","2009","Bachelor's","Non Government","Unaided"
"Roever Engineering College","Anna University, Chennai","Elambalur Village,  Perambalur – 621 220","Perambalur","Tamil Nadu","2(f) and 12(B)","2001","Master's","Non Government","Unaided"
"Rohini College of Engineering and Technology","Anna University  Chennai, Tamil Nadu","Near Anjugramam Junction, Kanyakumari Main Road, Palkulam, Variyoor Post, Kanyakumari Dist. – 629 401,","Kanyakumari","Tamil Nadu","2(f)","2012","Master's","Non Government","Unaided"
"Rohit Memorial Degree College","Dr Ram Manohar Lohia Awadh University, Faizabad","Mahadev Nagar, Chhapar, Sultanpur","","Uttar Pradesh","2(f) and 12(B)","2003","Master's","Non Government",""
"Rohtas Mahila College","Veer Kunwar Singh University, Arrah","Sasaram, District Rohtas","","Bihar","2(f) and 12(B)","1975","Bachelor's","Government",""
"Rosario College of Management Studies","Mangalore University, Mangalagangothri","Cathedral, Bolar, Mangalore – 575 001","","Karnataka","2(f)","2009","Bachelor's","Non Government","Unaided"
"Rosary College of Commerce and Arts","Goa University, Goa","Saleete, Navelim, Dist. South Goa - 403 707","","Goa","2(f) and 12(B)","1990","Bachelor's","Non Government",""
"Roshan Lal Institute of Science & Technology","Dr. B.R. Ambedkar University, Agra","NH-2, Arsena, Runkata, Agra – 282 007","","Uttar Pradesh","2(f) and 12(B)","2006","Bachelor's","Non Government",""
"Roshan Singh Badan Singh Gaytri Mahavidyalaya","Bundelkhand University, Jhansi","Kabrai Mahoba","","Uttar Pradesh","2(f) and 12(B)","2007","Bachelor's","Non Government","Unaided"
"Roshan Singh Chauhan Smarak Mahavidyalaya","M.J.P.Rohilkhand University, Bareilly","Village – Tanda Kothi, Post – Khaspur via Pakbada (Asmoli), Teh. & Dist. Sambhal – 244 102","","Uttar Pradesh","2(f) and 12(B)","2010","Bachelor's","Non Government","Unaided"
"Rotary Institute of Management & Technology","M.J.P.Rohilkhand University, Bareilly","Sita Ashram Road, Rotary (Pathra) Tiraha, Chandausi - 244 412, Sambhal","","Uttar Pradesh","2(f) and 12(B)","2008","Bachelor's","Non Government","Unaided"
"Rourkela Institute of Management Studies","Sambalpur University, Sambalpur","Rourkela, District Sundargarh","","Odisha","2(f) and 12(B)","1985","Bachelor's","Non Government",""
"Rourkela Law College","Sambalpur University, Sambalpur","Rourkela, District Sundargarh","","Odisha","2(f) and 12(B)","1975","Bachelor's","Non Government",""
"Rouzathul Uloom Arabic College","Calicut University, Kozhikode","P.O. Farrook College, P.O. Farook,  Calicut-673 632","","Kerala","2(f) and 12(B)","1942","Bachelor's","Non Government",""
"Royal Academy of Law","Manipur University, Imphal","Oinam, District Bishnupur, Manipur – 795 134","","Manipur","2(f) and 12(B)","1994","Bachelor's","Non Government",""
"Royal College","Hemchand Yadav Vishwavidyalaya, Durg","Lal Bagh,  Rajnandgaon-491 441,","Rajnandgaon","Chhattisgarh","2(f)","2009","Bachelor's","Non Government","Unaided"
"Royal College of Education","Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Jagdishpur (Jaipalpur), Gangaganj, Sitapur - 260 003","Sitapur","Uttar Pradesh","2(f) and 12(B)","2013","Bachelor's","Non Government","Unaided"
"Royal College of Law","Choudhary Charan Singh University, Meerut","28 KM., NH-24, Dasna, Post - Adhyatmik Nagar, Delhi-Hapur Bypass Road, Ghaziabad - 201 302","Ghaziabad","Uttar Pradesh","2(f) and 12(B)","2005","Bachelor's","Non Government","Unaided"
"Royal Educational Institute","Choudhary Charan Singh University, Meerut","28 Km. Stone, N.H. – 24, Dasna, Post – Adhyatmik Nagar, Ghaziabad – 201 302","","Uttar Pradesh","2(f) and 12(B)","2006","Bachelor's","Non Government","Unaided"
"Royal Heritage College of Education","Maulana Mazharul Haque Arabic & Persian University, Patna","Rajasan, Mahnar Road, Bidupur,  Hajipur, Distt-Vaishali, Bihar-844 102","Vaishali","Bihar","2(f)","2016","Bachelor's","Non Government","Unaided"
"Royal Prudence Degree College","Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Sitapur Road, Near Reliance Petrol Pump, Lakhimpur-Kheri – 262 701","","Uttar Pradesh","2(f) and 12(B)","2004","Bachelor's","Non Government","Unaided"
"RTE Society's Rural Engineering College","Visvesvaraya Technological University, Belgaum","Hulkoti, Dist. Gadag","","Karnataka","2(f) and 12(B)","1980","Bachelor's","Non Government",""
"Rudauli Degree College","Dr Ram Manohar Lohia Awadh University, Faizabad","Rudauli Barabanki, Distt. Faizabad","","Uttar Pradesh","2(f)","1995","Bachelor's","Government",""
