"Sr.No","Type","Name of the University","Address","Zip","state","Status"
"415","State","Sri Dev Suman Uttarakhand Vishwavidyalaya","Badshahithaul, Tehri Garhwal","249 199","Uttarakhand","2(f)"
"416","State","Sri Guru Teg Bahadur State University of Law","Sarhali Rd, Patti, District, Tarn Taran","143416","Punjab","2(f)"
"417","State","Sri Konda Laxman Telangana State Horticultural University","Mulugu, Siddipet district, Hyderabad","502279","Telangana","2(f)"
"418","State","Sri krishnadevaraya University","Sri Venkateswarpuram,Anantapuram","515003","Andhra Pradesh","2(f) & 12(B)"
"419","State","Sri Padmavati Mahila Vishwavidyalayam","Padmavathi Nagar, Tirupati,  Chittoor (Dist)","517502","Andhra Pradesh","2(f) & 12(B)"
"420","State","Sri Sri Aniruddhdeva Sports University","DICC BUILDING, 2ND FLOOR, ChabuaNEAR DISTRICT LIBRARY, DISTT. DIBRUGARH, Dibrugarh","786003","Assam","2(f)"
"421","State","Sri Venkateswara Institute of Medical Sciences","Alipiri Road, Tirupati, Chittoor Dist","517507","Andhra Pradesh","2(f) & 12(B)"
"422","State","Sri Venkateswara University","Tirupati","517502","Andhra Pradesh","2(f) & 12(B)"
"423","State","Sri Venkateswara Vedic University","Alipiri-Chandragiri Bypass Road, Tirupati, Chittoor Dist","517502","Andhra Pradesh","2(f)"
"424","State","Sri Venkateswara Veterinary University","Dr. YSR Bhavan, Tirupati","517502","Andhra Pradesh","2(f) & 12(B)"
"425","State","Srimanta Sankaradeva University of Health Sciences","Narakasur Hilltop, BhangagarhGuwahati","781032","Assam","2(f)"
"426","State","Swami Keshwanand Rajasthan Agricultural University","Beechwal, Sriganganagar Road,Bikaner","","Rajasthan","2(f)"
"427","State","Swami Ramanand Teerth Marathwada University","Vishnupuri, Nanded","431606","Maharashtra","2(f) & 12(B)"
"428","State","Swarnim Gujarat Sports University","Commerce College Campus, Opp Youth Hostel, Sector 15, Gandhinagar, Gujarat PTC Building Campus, Gandhinagar","382016","Gujarat","2(f)"
"429","State","T.M. Bhagalpur University","Bhagalpur","","Bihar","2(f) & 12(B)"
"430","State","Tamil Nadu Fisheries University","Vettar River View Campus, NagapattinamNagapattinam","611002","Tamil Nadu","2(f) & 12(B)"
"431","State","Tamil Nadu Open University","No. 577, Anna Salai,Saidapet,Chennai","600015","Tamil Nadu","2(f) & 12(B)"
"432","State","Tamil Nadu Physical Education and Sports University","Melakottaiyur, ChennaiSampat Maaligai, college Road,Chennai-600006","600127","Tamil Nadu","2(f)"
"433","State","Tamil Nadu Teacher Education University","Gangaiamman koil street, Karapakkam, Chennai,","600097","Tamil Nadu","2(f) & 12(B)"
"434","State","Tamil University","Trichy Road, Thanjavur,PIN - 613 005. (T.N.)","","Tamil Nadu","2(f) & 12(B)"
"435","State","Tamilnadu Agricultural University","Lawley Road, Coimbatore 641003, Tamilnadu","641003","Tamil Nadu","2(f) & 12(B)"
"436","State","Tamilnadu Dr. Ambedkar Law University","Poompozhil,5.Dr.D.G.S. dinakaranSalai, Raja Annamalai Puram,Chennai-600028, (T.N.)","","Tamil Nadu","2(f) & 12(B)"
"437","State","Tamilnadu Dr. M.G.R.Medical University","NO.69, ANNA SALAI, GUINDY, CHENNAI -600 032Chennai- 600 032.","600032","Tamil Nadu","2(f) & 12(B)"
"438","State","Tamilnadu National Law University","Navalur Kuttapattu,Srirangam Taluk,Tiruchirapalli","620 009","Tamil Nadu","2(f) & 12(B)"
"439","State","Tamilnadu Veterinary & Animal Sciences University","Tamil Nadu Veterinary and Animal Sciences University, Madhavaram Milk Colony, Chennai-51, Tamil Nadu","600051","Tamil Nadu","2(f) & 12(B)"
"440","State","Telangana University","Vil: Nadpally, Suddapally, Mdl: Dichpally, Dist.: NizamabadNizamabad- 503 322Andhra Pradesh","503322","Telangana","2(f) & 12(B)"
"441","State","The Bengal Engineering & Science University","ShibpurHowrah","","West Bengal","2(f)"
"442","State","The Maharaja Bhupinder Singh Punjab Sports University","Mohindra Kothi, Near Fountain Chowk, Patiala","147001","Punjab","2(f)"
"443","State","The National Law University of Meghalaya","Mayurbhanj Complex, Nongthymmai, Shillong","793014","Meghalaya","2(f)"
"444","State","The Rajiv Gandhi National University of Law","Sidhuwal, Bhadson Road, Patiala","147006","Punjab","2(f) & 12(B)"
