Name of the college,Affiliated To University,College address,District,State,Status,Year of Estb.,Teaching Upto,Govt or Non Govt,Aided or Unaided,source,street,locality,landmark,pin_code,extracted_district,completeness_score,final_district,has_valid_pin,has_valid_district
Royal College,"Hemchand Yadav Vishwavidyalaya, Durg","Lal Bagh,  Rajnandgaon-491 441,",Rajnandgaon,Chhattisgarh,2(f),2009.0,Bachelor's,Non Government,Unaided,colleges,Lal Bagh,Rajnandgaon,,,,0.6000000000000001,Rajnandgaon,False,True
Royal College of Education,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Jagdishpur (Jaipalpur), Gangaganj, Sitapur - 260 003",Sitapur,Uttar Pradesh,2(f) and 12(B),2013.0,Bachelor's,Non Government,Unaided,colleges,Jagdishpur (Jaipalpur),Gangaganj,,,,0.6000000000000001,Sitapur,False,True
Royal College of Law,"Choudhary Charan Singh University, Meerut","28 KM., NH-24, Dasna, Post - Adhyatmik Nagar, Delhi-Hapur Bypass Road, Ghaziabad - 201 302",Ghaziabad,Uttar Pradesh,2(f) and 12(B),2005.0,Bachelor's,Non Government,Unaided,colleges,28 KM.,NH,,,,0.6000000000000001,Ghaziabad,False,True
Royal Educational Institute,"Choudhary Charan Singh University, Meerut","28 Km. Stone, N.H. – 24, Dasna, Post – Adhyatmik Nagar, Ghaziabad – 201 302",,Uttar Pradesh,2(f) and 12(B),2006.0,Bachelor's,Non Government,Unaided,colleges,28 Km. Stone,N.H. – 24,,,,0.6000000000000001,,False,True
Royal Heritage College of Education,"Maulana Mazharul Haque Arabic & Persian University, Patna","Rajasan, Mahnar Road, Bidupur,  Hajipur, Distt-Vaishali, Bihar-844 102",Vaishali,Bihar,2(f),2016.0,Bachelor's,Non Government,Unaided,colleges,Rajasan,Mahnar Road,,,,0.6000000000000001,Vaishali,False,True
Royal Prudence Degree College,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Sitapur Road, Near Reliance Petrol Pump, Lakhimpur-Kheri – 262 701",,Uttar Pradesh,2(f) and 12(B),2004.0,Bachelor's,Non Government,Unaided,colleges,Sitapur Road,Near Reliance Petrol Pump,,,,0.6000000000000001,,False,True
RTE Society's Rural Engineering College,"Visvesvaraya Technological University, Belgaum","Hulkoti, Dist. Gadag",,Karnataka,2(f) and 12(B),1980.0,Bachelor's,Non Government,,colleges,Hulkoti,Dist. Gadag,,,,0.6000000000000001,,False,True
Rudauli Degree College,"Dr Ram Manohar Lohia Awadh University, Faizabad","Rudauli Barabanki, Distt. Faizabad",,Uttar Pradesh,2(f),1995.0,Bachelor's,Government,,colleges,Rudauli Barabanki,Distt. Faizabad,,,,0.6000000000000001,,False,True
"Rudauli Educational Institute,  Saraipeer","Saraipeer, Bhelsar,  Ayodhya – 224 116, Uttar Pradesh","Dr. R.M.L. Avadh University  Ayodhya, Uttar Pradesh",,Uttar Pradesh,2(f),2014.0,Bachelor's,Non Government,Unaided,colleges,Dr. R.M.L. Avadh University Ayodhya,Uttar Pradesh,,,,0.6000000000000001,,False,True
Rudra College of Law,"Choudhary Charan Singh Haryana Agricultural University, Hisar","NH-119, Near Police Chowki, Village-Mawana Khurd, Distt. Meerut - 250 401, Uttar Pradesh",Meerut,Uttar Pradesh,2(f) and 12(B),2019.0,Bachelor's,Non Government,Unaided,colleges,NH,119,,,,0.6000000000000001,Meerut,False,True
Rudra Institute of Technology,"Choudhary Charan Singh University, Meerut","NH – 119, Mawana Khurd, Dist. Meerut – 250 401",Meerut,Uttar Pradesh,2(f) and 12(B),2010.0,Bachelor's,Non Government,Unaided,colleges,NH – 119,Mawana Khurd,,,,0.6000000000000001,Meerut,False,True
Rudragouda Patil Govt. First Grade College,"Karnataka University, Dharwad",Bilagi (Dist. Bijapur),,Karnataka,2(f) and 12(B),1991.0,Bachelor's,Government,,colleges,Bilagi (Dist. Bijapur),,,,,0.2,,False,True
Rudras College,"Raja Mahendra Pratap Singh State University, Aligarh","Chhara, Aligarh-202 130, Uttar Pradesh",Aligarh,Uttar Pradesh,2(f),2014.0,Bachelor's,Non Government,Unaided,colleges,Chhara,Aligarh,,,,0.6000000000000001,Aligarh,False,True
Rukasen College,"Assam University, Silchar","P.O. & P.S. – Bakaliaghat, Dist. Karbi Anglong – 782 482",Karbi Anglong,Assam,2(f) and 12(B),1992.0,Bachelor's,Non Government,Unaided,colleges,P.O. & P.S. – Bakaliaghat,Dist. Karbi Anglong – 782 482,,,,0.6000000000000001,Karbi Anglong,False,True
Rukmadevi Pannalal Laddha Maheshwari College,"Devi Ahilya Vishwavidyalaya, Indore","51, Chhatribagh, Indore – 452 002",,Madhya Pradesh,2(f) and 12(B),1994.0,Master's,Non Government,Unaided,colleges,51,Chhatribagh,,,,0.6000000000000001,,False,True
Rukmini Devi Asharfi Lal Verma Shikshan Evam Prashikshan Sansthaan,"Siddharth University, Kapilvastu","Paikoliya, Harraiya, Basti - 272 181",Basti,Uttar Pradesh,2(f),2016.0,Bachelor's,Non Government,Unaided,colleges,Paikoliya,Harraiya,,,,0.6000000000000001,Basti,False,True
Rukmini Devi Chilika Mahavidyalaya,"Utkal  University,  Bhubaneswar","Chilika Nuapada, Puri",,Odisha,2(f) and 12(B),1990.0,Bachelor's,Non Government,Aided,colleges,Chilika Nuapada,Puri,,,,0.6000000000000001,,False,True
Ruma Mahavidyalaya,"Dr Ram Manohar Lohia Awadh University, Faizabad","Gobari, Pratapgarh – 230 502",,Uttar Pradesh,2(f) and 12(B),2008.0,Bachelor's,Non Government,Unaided,colleges,Gobari,Pratapgarh – 230 502,,,,0.6000000000000001,,False,True
Rungta College of Engineering & Technology,"Chhattisgarh Swami Vivekanand Technical University, Bhilai","Kohka Road, Kurud, Bhilai – 490 024",,Chhattisgarh,2(f),1999.0,Master's,Non Government,Unaided,colleges,Kohka Road,Kurud,,,,0.6000000000000001,,False,True
Rungta College of Engineering & Technology,"Chhattisgarh Swami Vivekanand Technical University, Bhilai","Ward No.1, Veer Sawarkar Nagar, Near Nandanvan, Raipur - 492 009",Raipur,Chhattisgarh,2(f),2009.0,Master's,Non Government,Unaided,colleges,Ward No.1,Veer Sawarkar Nagar,,,,0.6000000000000001,Raipur,False,True
Rungta College of Pharmaceutical Sciences & Research,"Chhattisgarh Swami Vivekanand Technical University, Bhilai","Kohka Road, Kurud, Bhilai – 490 024",,Chhattisgarh,2(f),2006.0,Master's,Non Government,Unaided,colleges,Kohka Road,Kurud,,,,0.6000000000000001,,False,True
Rungta Engineering College,"Chhattisgarh Swami Vivekanand Technical University, Bhilai","Near Nandanvan, Veer Sawarkar Marg, Raipur- 492 099",Raipur,Chhattisgarh,2(f),2009.0,Master's,Non Government,Unaided,colleges,Near Nandanvan,Veer Sawarkar Marg,,,,0.6000000000000001,Raipur,False,True
Rupahi College,"Gauhati University, Guwahati","Rupahi, Nagaon-782 125",Nagaon,Assam,2(f) and 12(B),1986.0,Bachelor's,Non Government,,colleges,Rupahi,Nagaon,,,,0.6000000000000001,Nagaon,False,True
Rural  B.Ed. College,"Karnataka University, Dharwad","Plot No. 19 ‘C’, Sattur, Dharwad – 580 009",,Karnataka,2(f),2005.0,Bachelor's,Non Government,Unaided,colleges,Plot No. 19 ‘C’,Sattur,,,,0.6000000000000001,,False,True
Rural College of Education,"Kurukshetra University, Kurukshetra","Fatehpur Pundri, Dist. Kaithal",,Haryana,2(f) and 12(B),1970.0,Bachelor's,Non Government,,colleges,Fatehpur Pundri,Dist. Kaithal,,,,0.6000000000000001,,False,True
Rural Developments Society’s Bachelor of Social Work College,"Karnataka University, Dharwad","Laxmi Nagar, Mudalgi-591 312, District Belgaum",,Karnataka,2(f),2002.0,Bachelor's,Non Government,,colleges,Laxmi Nagar,Mudalgi,,,,0.6000000000000001,,False,True
Rural Foundation Nandurbar Sanchalit Senior Science College,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Akkalkuwa, Dist. Nandurbar-425 415, Maharashtra",Nandurbar,Maharashtra,12B,2003.0,Bachelor's,Non Government,Aided,colleges,Akkalkuwa,Dist. Nandurbar,,,,0.6000000000000001,Nandurbar,False,True
"Rural Foundation, Nandurbar Sanchalit Senior Science College","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Akkalkuwa, Tal. Akkalkuwa, Dist. Nandurbar - 425 415",Nandurbar,Maharashtra,2(f),2003.0,Bachelor's,Non Government,Aided,colleges,Akkalkuwa,Tal. Akkalkuwa,,,,0.6000000000000001,Nandurbar,False,True
RVS Technical Campus-Coimbatore,"Anna University, Chennai","Kumaran Kottam Campus, Kannampalayam, Coimbatore – 641 402",Coimbatore,Tamil Nadu,2(f),2009.0,Master's,Non Government,Unaided,colleges,Kumaran Kottam Campus,Kannampalayam,,,,0.6000000000000001,Coimbatore,False,True
Ryat Shikshan Sanstha's Arts Science and Commerce College,"Mumbai University, Mumbai",Plot No. 292/2 294/O 312/1 314/4 Mokhada Tal. Makhada Dt. Thane,,Maharashtra,2(f) and 12(B),1984.0,Bachelor's,Non Government,,colleges,Plot No. 292/2 294/O 312/1 314/4 Mokhada Tal. Makhada Dt. Thane,,,,,0.2,,False,True
S. Chandra Mahila Mahavidyalaya,"Rashtrasant Tukadoji Maharaj Nagpur  University, Nagpur","S. Chandra Parisar, Tidka Road, Sadak/Arjuni, Dist. Gondia – 441 807, Maharashtra",Gondiya,Maharashtra,2(f),2008.0,Bachelor's,Non Government,Unaided,colleges,S. Chandra Parisar,Tidka Road,,,,0.6000000000000001,Gondiya,False,True
S. Jawad Ali Imamdra Girls Degree College,"Deen Dayal Upadhyay Gorakhpur University, Gorakhpur","Gorakhpur, District Gorakhpur",,Uttar Pradesh,2(f) and 12(B),1973.0,Master's,Non Government,,colleges,Gorakhpur,District Gorakhpur,,,,0.6000000000000001,,False,True
S. K. N. R. Govt. Arts & Sccience College,"Kakatiya University, Warangal","Jagtial, District Karimnagar - 505327",,Telangana,2(f) and 12(B),1965.0,Bachelor's,Government,,colleges,Jagtial,District Karimnagar,,,,0.6000000000000001,,False,True
S. Kula Women's College,"Manipur University, Imphal","Kongkhampat, Nambol  - 795 134, District Bishnupur",Bishnupur,Manipur,2(f) and 12(B),1981.0,Bachelor's,Non Government,,colleges,Kongkhampat,Nambol,,,,0.6000000000000001,Bishnupur,False,True
S. M. C. C. Government College,"Mohan Lal Sukhadia University, Udaipur",ABU Road - 307 026,,Rajasthan,2(f) and 12(B),1977.0,Bachelor's,Government,Aided,colleges,ABU Road,307 026,,,,0.6000000000000001,,False,True
S. Nijalingappa Sugar Institute College of B.Sc. (Sugar Science & Technology),"Rani Channamma University, Vidyasangama","CTS. No. 4125/1B, Ganeshpur Road, Laxmi Tek, Belagavi – 590 009, Karnataka",Belgaum,Karnataka,2(f),2018.0,Bachelor's,Non Government,Unaided,colleges,CTS. No. 4125/1B,Ganeshpur Road,,,,0.6000000000000001,Belgaum,False,True
S. Sinha College,"Magadh University, Bodh Gaya","Aurangabad, District Aurangabad",,Bihar,2(f) and 12(B),1944.0,Master's,Government,,colleges,Aurangabad,District Aurangabad,,,,0.6000000000000001,,False,True
S. Veerasamy Chettiar College of Engineering and Technology,"Anna University, Chennai","S.V. Nagar, Dist. – Tirunelveli, Puliangudi – 627 855",,Tamil Nadu,2(f),2001.0,Master's,Non Government,Unaided,colleges,S.V. Nagar,Dist. – Tirunelveli,,,,0.6000000000000001,,False,True
S.A. Engineering College,"Anna University, Chennai","Poonamallee - Avadi Road, Veeraraghavapuram, Thiruverkadu Post, Chennai - 600 077",Chennai,Tamil Nadu,2(f) and 12(B),1998.0,Master's,Non Government,Unaided,colleges,Poonamallee,Avadi Road,,,,0.6000000000000001,Chennai,False,True
S.A. Jain College,"Kurukshetra University, Kurukshetra","Ambala City, Dist. Ambala",,Haryana,2(f) and 12(B),1938.0,Master's,Non Government,,colleges,Ambala City,Dist. Ambala,,,,0.6000000000000001,,False,True
S.A.J. College of Arts & Commerce College,"Savitribai Phule Pune University, Pune","Pune -2, Dist. Pune",Pune,Maharashtra,2(f) and 12(B),1984.0,Bachelor's,Non Government,,colleges,Pune,2,,,,0.6000000000000001,Pune,False,True
S.A.S. Govt. Degree College,"Andhra University, Visakhapatnam","Narayanapuram – 534 407, Unguturu Mandal, West Godavari District",West Godavari,Andhra Pradesh,2(f) and 12(B),1972.0,Bachelor's,Government,Aided,colleges,Narayanapuram – 534 407,Unguturu Mandal,,,,0.6000000000000001,West Godavari,False,True
S.A.S. SNDP Yogam College,"Mahatma Gandhi University, Kottayam","Konni P.O. No. 16 Konni, Pathanamthitta",,Kerala,2(f) and 12(B),1995.0,Bachelor's,Non Government,,colleges,Konni P.O. No. 16 Konni,Pathanamthitta,,,,0.6000000000000001,,False,True
S.A.V. Acharya Institute of Management Studies,"Mumbai University, Mumbai","Veeracharya Technical Education  Campus Opp. Shelu Suburban Railway Station Shelu/Damat, Tal. Karjat, Dist. Raigad – 410 201 Maharashtra",Raigarh,Maharashtra,2(f),2010.0,Master's,Non Government,Unaided,colleges,Veeracharya Technical Education Campus Opp. Shelu Suburban Railway Station Shelu/Damat,Tal. Karjat,,,,0.6000000000000001,Raigarh,False,True
S.B. Arts & K.C.P. Science College,"Karnataka University, Dharwad","Bijapur, Dist. Bijapur",,Karnataka,2(f) and 12(B),1945.0,Bachelor's,Non Government,,colleges,Bijapur,Dist. Bijapur,,,,0.6000000000000001,,False,True
S.B. City College,"Rashtrasant Tukadoji Maharaj Nagpur  University, Nagpur","Nagpur - 9, District Nagpur",,Maharashtra,2(f) and 12(B),1930.0,Master's,Non Government,,colleges,Nagpur,9,,,,0.6000000000000001,,False,True
S.B. College,"Veer Kunwar Singh University, Arrah","Arrah, Dist. Bhojpur",,Bihar,2(f) and 12(B),1972.0,Master's,Government,,colleges,Arrah,Dist. Bhojpur,,,,0.6000000000000001,,False,True
S.B. Deorah College,"Gauhati University, Guwahati","Ulubari, Guwahati-781 007",Kamrup,Assam,2(f) and 12(B),1987.0,Bachelor's,Non Government,,colleges,Ulubari,Guwahati,,,,0.6000000000000001,Kamrup,False,True
S.B. Education Society's College of Arts & Commerce,"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad","Aurangpura, Aurangabad, District Aurangabad - 431 001",,Maharashtra,2(f) and 12(B),1963.0,Bachelor's,Non Government,,colleges,Aurangpura,Aurangabad,,,,0.6000000000000001,,False,True
S.B. Garda College (Arts) and P.K. Patel College of Commerce,"Veer Narmad South Gujarat University, Surat","Navsari, Dist. Navsari",,Gujarat,2(f) and 12(B),1945.0,Master's,Non Government,,colleges,Navsari,Dist. Navsari,,,,0.6000000000000001,,False,True
"S.B. Jain Institute of Technology, Management & Research","Rashtrasant Tukadoji Maharaj Nagpur  University, Nagpur","Near Jain International School, Katol Road, Nagpur - 441 501",Nagpur,Maharashtra,2(f),2008.0,Master's,Non Government,Aided,colleges,Near Jain International School,Katol Road,,,,0.6000000000000001,Nagpur,False,True
S.B. Khade Mahavidyalaya,"Shivaji University, Kolhapur","Koparde, Tal. Karveer, District Kolhapur",,Maharashtra,2(f) and 12(B),1985.0,Bachelor's,Non Government,,colleges,Koparde,Tal. Karveer,,,,0.6000000000000001,,False,True
S.B.C. First Grade College for Women,"Davangere University, Davangere","S.S. Layout ‘A’ Block, Davangere - 577004",Davanagere,Karnataka,2(f) and 12(B),1992.0,Bachelor's,Non Government,,colleges,S.S. Layout ‘A’ Block,Davangere,,,,0.6000000000000001,Davanagere,False,True
S.B.D. Government College,"Maharaja Ganga Singh University,  Bikaner","Sarrdarshahr, District Churu",,Rajasthan,2(f) and 12(B),1959.0,Bachelor's,Government,Aided,colleges,Sarrdarshahr,District Churu,,,,0.6000000000000001,,False,True
S.B.D.T. College,"Rajasthan University, Jaipur","Lachhmangarh, District Sikar",,Rajasthan,2(f) and 12(B),1961.0,Master's,Non Government,,colleges,Lachhmangarh,District Sikar,,,,0.6000000000000001,,False,True
S.B.E.S. College of Science,"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad","Aurangpura, Aurangabad, District Aurangabad - 431 001",,Maharashtra,2(f) and 12(B),1963.0,Bachelor's,Non Government,Aided,colleges,Aurangpura,Aurangabad,,,,0.6000000000000001,,False,True
S.B.J. Degree College,"Dr. B.R. Ambedkar University, Agra","Bisawar, District Mathura",,Uttar Pradesh,2(f) and 12(B),1968.0,Bachelor's,Non Government,,colleges,Bisawar,District Mathura,,,,0.6000000000000001,,False,True
S.B.M.S. College,"Gauhati University, Guwahati","Sualkuchi, District Kamrup",Kamrup,Assam,2(f) and 12(B),1963.0,Bachelor's,Non Government,,colleges,Sualkuchi,District Kamrup,,,,0.6000000000000001,Kamrup,False,True
S.B.R. Government Women's College,"Berhampur University, Berhampur","Berhampur (Ganjam), District Ganjam",,Odisha,2(f) and 12(B),1958.0,Bachelor's,Government,,colleges,Berhampur (Ganjam),District Ganjam,,,,0.6000000000000001,,False,True
S.B.R.R. Mahajana First Grade College,"Mysore University, Mysore","Mysore, Jayalaksimipuram, Dist. Mysore - 570 012",Mysore,Karnataka,2(f) and 12(B),1982.0,Bachelor's,Non Government,,colleges,Mysore,Jayalaksimipuram,,,,0.6000000000000001,Mysore,False,True
S.B.S. Government College,"Gaur Banga University, Malda","Hili, P.O. Hili, Dist. Dakshin Dinajpur - 733 126",Dakshin Dinajpur,West Bengal,2(f),2013.0,Bachelor's,Government,Aided,colleges,Hili,P.O. Hili,,,,0.6000000000000001,Dakshin Dinajpur,False,True
S.B.S.S.P.S.J. College,"Sido Kanhu Murmu University, Dumka",Palhargame Godda,,Jharkhand,2(f) and 12(B),1980.0,Bachelor's,Non Government,,colleges,Palhargame Godda,,,,,0.2,,False,True
S.C. Mutha Aryangala Vaidyak Mahavidyalaya,"Shivaji University, Kolhapur","Satara, Dist. Satara - 415001",,Maharashtra,2(f) and 12(B),1963.0,Bachelor's,Non Government,,colleges,Satara,Dist. Satara,,,,0.6000000000000001,,False,True
S.C.A. Patel Arts College,"Gujarat University, Ahmedabad","Sadhli, Ta. Sinor, District Vadodara",,Gujarat,2(f) and 12(B),1998.0,Bachelor's,Non Government,,colleges,Sadhli,Ta. Sinor,,,,0.6000000000000001,,False,True
S.C.D. Government College,"Punjab University, Chandigarh","Ludhiana, District Ludhiana",,Punjab,2(f) and 12(B),1920.0,Master's,Government,,colleges,Ludhiana,District Ludhiana,,,,0.6000000000000001,,False,True
S.C.I.M. Govt. College,"Andhra University, Visakhapatnam","Tanuku, District West Godavari - 534 211",West Godavari,Andhra Pradesh,2(f) and 12(B),1968.0,Bachelor's,Government,,colleges,Tanuku,District West Godavari,,,,0.6000000000000001,West Godavari,False,True
S.C.N.R. Govt. College,"Sri Venkateswara University, Tirupati","Proddatur, District Cuddpah",Y.S.R.,Andhra Pradesh,2(f) and 12(B),1966.0,Bachelor's,Government,,colleges,Proddatur,District Cuddpah,,,,0.6000000000000001,Y.S.R.,False,True
S.C.S. Morning College,"Utkal  University,  Bhubaneswar","Puri, District Puri",,Odisha,2(f) and 12(B),1966.0,Master's,Government,,colleges,Puri,District Puri,,,,0.6000000000000001,,False,True
S.D. Arts & Shah B.R. Commerce College,"Hemchandracharya North Gujarat University, Patan","Mansa, Dist. Gandhinagar - 382 845",,Gujarat,2(f) and 12(B),1960.0,Master's,Non Government,,colleges,Mansa,Dist. Gandhinagar,,,,0.6000000000000001,,False,True
S.D. Bhadawar Degree College,"Dr. B.R. Ambedkar University, Agra","Chhalesar, Kuberpur, Agra – 282 006",,Uttar Pradesh,2(f) and 12(B),2006.0,Bachelor's,Non Government,,colleges,Chhalesar,Kuberpur,,,,0.6000000000000001,,False,True
S.D. College,"Kurukshetra University, Kurukshetra","Panipat, Dist. Panipat - 132 103",,Haryana,2(f) and 12(B),1969.0,Master's,Non Government,,colleges,Panipat,Dist. Panipat,,,,0.6000000000000001,,False,True
S.D. College,"Choudhary Charan Singh University, Meerut","Muzaffarnagar, District Muzaffarnagar",,Uttar Pradesh,2(f) and 12(B),1949.0,Master's,Non Government,,colleges,Muzaffarnagar,District Muzaffarnagar,,,,0.6000000000000001,,False,True
S.D. College,"Punjabi University, Patiala","Barnala, District Sangrur",,Punjab,2(f) and 12(B),1956.0,Bachelor's,Non Government,,colleges,Barnala,District Sangrur,,,,0.6000000000000001,,False,True
S.D. College,"Shaheed Nandkumar Patel Vishwavidyalaya, Raigarh",P.O. and Tehsil - Nawagarh Dist. Janjgir-Champa – 495 557 Chhattisgarh,,Chhattisgarh,2(f),2005.0,Master's,Non Government,Unaided,colleges,P.O. and Tehsil,Nawagarh Dist. Janjgir,,,,0.6000000000000001,,False,True
S.D. College,"Punjab University, Chandigarh",Hoshiarpur,,Punjab,2(f) and 12(B),1973.0,Bachelor's,Non Government,,colleges,Hoshiarpur,,,,,0.2,,False,True
S.D. College for Women,"Punjab University, Chandigarh",Moga,,Punjab,2(f) and 12(B),1969.0,Bachelor's,Non Government,,colleges,Moga,,,,,0.2,,False,True
S.D. College For Women,"Guru Nanak Dev University, Amritsar","Sultanpur Lodhi, District Kapurthala",,Punjab,2(f) and 12(B),1974.0,Bachelor's,Non Government,,colleges,Sultanpur Lodhi,District Kapurthala,,,,0.6000000000000001,,False,True
S.D. College of Commerce,"Choudhary Charan Singh University, Meerut","Bhopa Road, Muzaffarnagar – 251 001",,Uttar Pradesh,2(f) and 12(B),2001.0,Bachelor's,Non Government,Unaided,colleges,Bhopa Road,Muzaffarnagar – 251 001,,,,0.6000000000000001,,False,True
S.D. College of Management Studies,"Choudhary Charan Singh University, Meerut","Bhopa Road, Muzaffarnagar – 251 001",,Uttar Pradesh,2(f) and 12(B),1998.0,Bachelor's,Non Government,Unaided,colleges,Bhopa Road,Muzaffarnagar – 251 001,,,,0.6000000000000001,,False,True
S.D. College of Pharmacy and Vocational Studies,"Dr. A.P.J. Abdul Kalam Technical University, Lucknow","Bhopa Road, Muzaffarnagar - 251 001",Muzaffarnagar,Uttar Pradesh,2(f),2001.0,Master's,Non Government,Unaided,colleges,Bhopa Road,Muzaffarnagar,,,,0.6000000000000001,Muzaffarnagar,False,True
S.D. Girls Degree College,"Choudhary Charan Singh University, Meerut","Budhana, Muzaffarnagar - 251 309",Muzaffarnagar,Uttar Pradesh,2(f) and 12(B),2010.0,Bachelor's,Non Government,Unaided,colleges,Budhana,Muzaffarnagar,,,,0.6000000000000001,Muzaffarnagar,False,True
S.D. Government College,"Maharishi Dayanand Saraswati University, Ajmer","Beawar, District Ajmer",,Rajasthan,2(f) and 12(B),1955.0,Master's,Government,Aided,colleges,Beawar,District Ajmer,,,,0.6000000000000001,,False,True
S.D. Jain Girls’ College,"Nagaland University, Kohima","Jain Temple Road, Dimapur – 797 112",,Nagaland,2(f) and 12(B),1995.0,Bachelor's,Non Government,Unaided,colleges,Jain Temple Road,Dimapur – 797 112,,,,0.6000000000000001,,False,True
S.D. Kanya Mahavidyalaya,"Punjabi University, Patiala","Mansa, District Bathinda",,Punjab,2(f) and 12(B),1969.0,Bachelor's,Non Government,,colleges,Mansa,District Bathinda,,,,0.6000000000000001,,False,True
S.D. Mahila Mahavidyalaya,"Chaudhary Devi Lal University, Sirsa.","Hansi, Dist. Hisar",,Haryana,2(f) and 12(B),1970.0,Bachelor's,Non Government,,colleges,Hansi,Dist. Hisar,,,,0.6000000000000001,,False,True
S.D. Mahila Mahavidyalaya,"Chaudhary Devi Lal University, Sirsa.","Narwana, Dist. Jind",,Haryana,2(f) and 12(B),1973.0,Bachelor's,Non Government,,colleges,Narwana,Dist. Jind,,,,0.6000000000000001,,False,True
S.D. Shethia College of Education,"Krantiguru Shyamji Krishna Verma Kachchh University, Bhuj-Kachchh","Mundra, Dist. Kutch - 370 421",,Gujarat,2(f) and 12(B),1970.0,Bachelor's,Non Government,,colleges,Mundra,Dist. Kutch,,,,0.6000000000000001,,False,True
S.D.G.S. College,"Sri Krishnadevaraya University, Anantapur","Hindpur, District Anantapur - 515 201",Anantapur,Andhra Pradesh,2(f) and 12(B),1965.0,Bachelor's,Non Government,,colleges,Hindpur,District Anantapur,,,,0.6000000000000001,Anantapur,False,True
S.D.J. P.G. College,"Veer Bahadur Singh Purvanchal University, Jaunpur","Chandeshar, District Azamgarh",,Uttar Pradesh,2(f) and 12(B),1958.0,Master's,Non Government,,colleges,Chandeshar,District Azamgarh,,,,0.6000000000000001,,False,True
"S.D.M. College of Arts, Science & Commerce","Karnataka University, Dharwad","Honavar, Dist. Karwar - 581 334",,Karnataka,2(f) and 12(B),1964.0,Bachelor's,Non Government,,colleges,Honavar,Dist. Karwar,,,,0.6000000000000001,,False,True
S.D.M. College of Engineering and Technology,"Visvesvaraya Technological University, Belgaum","Davalgiri, Dharwad - 580 002, Dist. Dharwad",,Karnataka,2(f) and 12(B),1979.0,Bachelor's,Non Government,Unaided,colleges,Davalgiri,Dharwad,,,,0.6000000000000001,,False,True
S.D.M. Institute of Technology,"Visvesvaraya Technological University, Belgaum","Ujire – 574 240, Dakshina Kanada",Dakshina Kannada,Karnataka,2(f),2007.0,Bachelor's,Non Government,Unaided,colleges,Ujire – 574 240,Dakshina Kanada,,,,0.6000000000000001,Dakshina Kannada,False,True
S.D.M. Trust’s S.D.M. College of Education,"Rani Channamma University, Vidyasangama","Terdal – 587 315, District Bagalkot",Bagalkot,Karnataka,2(f),2004.0,Bachelor's,Non Government,Unaided,colleges,Terdal – 587 315,District Bagalkot,,,,0.6000000000000001,Bagalkot,False,True
S.D.P. College for Women,"Punjab University, Chandigarh",Ludhiana,,Punjab,2(f) and 12(B),1968.0,Master's,Non Government,,colleges,Ludhiana,,,,,0.2,,False,True
S.D.P.T. First Grade College,"Mangalore University, Mangalagangothri","Kateel, Dist. Dakshin Kannad - 574 148",,Karnataka,2(f) and 12(B),1988.0,Master's,Non Government,,colleges,Kateel,Dist. Dakshin Kannad,,,,0.6000000000000001,,False,True
S.D.S. College of Arts & Applied Sciences,"Andhra University, Visakhapatnam","Sriramnagar, Garividi, District Vizianagaram - 532 101",Vizianagaram,Andhra Pradesh,2(f) and 12(B),1975.0,Bachelor's,Non Government,,colleges,Sriramnagar,Garividi,,,,0.6000000000000001,Vizianagaram,False,True
S.D.S. Degree College,"Dr. B.R. Ambedkar University, Agra","Kosi Khurd, Dist. Mathura – 281 005",,Uttar Pradesh,2(f) and 12(B),2008.0,Bachelor's,Non Government,Unaided,colleges,Kosi Khurd,Dist. Mathura – 281 005,,,,0.6000000000000001,,False,True
S.D.S. Degree College,"Dr. B.R. Ambedkar University, Agra","Marthara, Etah – 207 001",,Uttar Pradesh,2(f) and 12(B),2007.0,Bachelor's,Non Government,Unaided,colleges,Marthara,Etah – 207 001,,,,0.6000000000000001,,False,True
S.D.V.S. Sangh's S.S. Arts College & T.P. Science Institute,"Karnataka University, Dharwad","Sankeshwar, Dist. Belgaum",,Karnataka,2(f) and 12(B),1967.0,Bachelor's,Non Government,,colleges,Sankeshwar,Dist. Belgaum,,,,0.6000000000000001,,False,True
S.D.V.S. Sangha's Shri L.K. Khot College of Commerce,"Karnataka University, Dharwad","Sankeshwar, Dist. Belgaum",,Karnataka,2(f) and 12(B),1970.0,Bachelor's,Non Government,,colleges,Sankeshwar,Dist. Belgaum,,,,0.6000000000000001,,False,True
S.E.A. College of Engineering & Technology,"Visvesvaraya Technological University, Belgaum","Ekta Nagar, Near Ayyappanagar Circle,Devasandra Main Road, Virgonagar Post, K.R. Puram, Bangalore – 560 049, Karnataka",Bangalore,Karnataka,2(f),2007.0,Master's,Non Government,Unaided,colleges,Ekta Nagar,Near Ayyappanagar Circle,,,,0.6000000000000001,Bangalore,False,True
