Name of the college,Affiliated To University,College address,District,State,Status,Year of Estb.,Teaching Upto,Govt or Non Govt,Aided or Unaided,source,street,locality,landmark,pin_code,extracted_district,completeness_score,final_district,has_valid_pin,has_valid_district
Bundelkhand College,"Bundelkhand University, Jhansi","Jhansi, District Jhansi",,Uttar Pradesh,2(f) and 12(B),1949.0,Master's,Non Government,,colleges,Jhansi,District Jhansi,,,,0.6000000000000001,,False,True
Bundelkhand Institute of Engineering & Technology,"Gautam Budh Technical University, Lucknow",Jhansi – 284 128,,Uttar Pradesh,2(f),1989.0,Master's,Government,Aided,colleges,Jhansi – 284 128,,,,,0.2,,False,True
Buniadpur Mahavidyalaya,"Gaur Banga University, Malda","P.O. Buniadpur, Dist. Dakshin Dinajpur – 733 121",,West Bengal,2(f) and 12(B),2007.0,Bachelor's,Non Government,Aided,colleges,P.O. Buniadpur,Dist. Dakshin Dinajpur – 733 121,,,,0.6000000000000001,,False,True
"Bunts Sangh’s, S.M. Shetty College of Science, Commerce and Management Studies","Mumbai University, Mumbai","Hiranandani Garden, Powai, Mumbai - 400 076,",Mumbai,Maharashtra,2(f),2008.0,Master's,Non Government,Unaided,colleges,Hiranandani Garden,Powai,,,,0.6000000000000001,Mumbai,False,True
"Bunts Sangh’s, S.M. Shetty College of Science, Commerce and Management Studies,  Hiranandani Garden, Powai,  Mumbai - 400 076,  Maharashtra.","University of Mumbai, Mumbai","Hiranandani Garden, Powai,  Mumbai - 400 076,",Mumbai,Maharashtra,12B,2008.0,Bachelor's,Non Government,Unaided,colleges,Hiranandani Garden,Powai,,,,0.6000000000000001,Mumbai,False,True
Burdwan Medical College & Hospital,"Burdwan University, Burdwan","Burdwan, District Burdwan",,West Bengal,2(f) and 12(B),1976.0,Bachelor's,Government,,colleges,Burdwan,District Burdwan,,,,0.6000000000000001,,False,True
Burdwan Raj College,"Burdwan University, Burdwan","Burdwan - 4, District Burdwan",,West Bengal,2(f) and 12(B),1882.0,Bachelor's,Non Government,,colleges,Burdwan,4,,,,0.6000000000000001,,False,True
Burhani College of Commerce and Arts,"Mumbai University, Mumbai","Mazagaon, Dist. Mumbai - 400 010",,Maharashtra,2(f) and 12(B),1971.0,Master's,Non Government,,colleges,Mazagaon,Dist. Mumbai,,,,0.6000000000000001,,False,True
Burla College,"Sambalpur University, Sambalpur","Burla, District Sambalpur",,Odisha,2(f) and 12(B),1981.0,Bachelor's,Non Government,,colleges,Burla,District Sambalpur,,,,0.6000000000000001,,False,True
BVC College of Engineering,"Jawaharlal Nehru Technological University, Kakinada","Palacharla, Rajahmahendravaram – 533 102, East Godavari Dist..",East Godavari,Andhra Pradesh,2(f),2009.0,Master's,Non Government,Unaided,colleges,Palacharla,Rajahmahendravaram – 533 102,,,,0.6000000000000001,East Godavari,False,True
"BVC College of Engineering, Palacharla","Jawaharlal Nehru Technological University Kakinada, Andhra Pradesh.","Rajahmahendravaram – 533 102,  East Godavari Dist.",,Andhra Pradesh,12B,2009.0,Master's,Non Government,Unaided,colleges,Rajahmahendravaram – 533 102,East Godavari Dist.,,,,0.6000000000000001,,False,True
BVRIT Hyderabad College of Engineering for Women,"Jawaharlal Nehru Technological University, Hyderabad","# 8-5/4, Rajiv Gandhi Nagar, Nizampet Road, Bachupally Mandal, Medchal-Malkajigiri, Dist., Hyderabad-500 090",Hyderabad,Tamil Nadu,2(f),2012.0,Bachelor's,Non Government,Unaided,colleges,# 8,5/4,,,,0.6000000000000001,Hyderabad,False,True
BVVS'S Arts & Commerce College,"Karnataka University, Dharwad","Station Road, Dist. Bijapur",,Karnataka,2(f) and 12(B),1982.0,Bachelor's,Non Government,,colleges,Station Road,Dist. Bijapur,,,,0.6000000000000001,,False,True
BVVS's Basaveshwar Commerce College,"Karnataka University, Dharwad","Bagalkot, Dist. Bagalkot",,Karnataka,2(f) and 12(B),1970.0,Bachelor's,Non Government,,colleges,Bagalkot,Dist. Bagalkot,,,,0.6000000000000001,,False,True
